[2025-12-17 20:58:19,959::train::INFO] Namespace(config='configs/tuning_0_0.yml', device='cuda', logdir='./logs_diffusion', tag='', train_report_iter=200)
[2025-12-17 20:58:19,960::train::INFO] {'data': {'name': 'pl', 'path': './data/crossdocked_v1.1_rmsd1.0_pocket10', 'split': './data/crossdocked_pocket10_pose_split.pt', 'transform': {'ligand_atom_mode': 'add_aromatic', 'random_rot': False}}, 'model': {'model_mean_type': 'C0', 'beta_schedule': 'sigmoid', 'beta_start': 1e-07, 'beta_end': 0.002, 'v_beta_schedule': 'cosine', 'v_beta_s': 0.01, 'num_diffusion_timesteps': 1000, 'loss_v_weight': 100.0, 'sample_time_method': 'symmetric', 'time_emb_dim': 0, 'time_emb_mode': 'simple', 'center_pos_mode': 'protein', 'node_indicator': True, 'model_type': 'uni_o2', 'num_blocks': 1, 'num_layers': 9, 'hidden_dim': 128, 'n_heads': 16, 'edge_feat_dim': 4, 'num_r_gaussian': 20, 'knn': 32, 'num_node_types': 8, 'act_fn': 'relu', 'norm': True, 'cutoff_mode': 'knn', 'ew_net_type': 'global', 'num_x2h': 1, 'num_h2x': 1, 'r_max': 10.0, 'x2h_out_fc': False, 'sync_twoup': False, 'compactness_weight': 0.0, 'spp_weight': 0.0}, 'train': {'seed': 2021, 'batch_size': 4, 'num_workers': 4, 'n_acc_batch': 1, 'max_iters': 100000, 'val_freq': 2000, 'pos_noise_std': 0.1, 'max_grad_norm': 8.0, 'bond_loss_weight': 1.0, 'optimizer': {'type': 'adam', 'lr': 0.001, 'weight_decay': 0, 'beta1': 0.95, 'beta2': 0.999}, 'scheduler': {'type': 'plateau', 'factor': 0.6, 'patience': 10, 'min_lr': 1e-06}}}
[2025-12-17 20:58:19,998::train::INFO] Loading dataset...
[2025-12-17 20:58:20,063::train::INFO] Training: 163170 Validation: 3330
[2025-12-17 20:58:20,063::train::INFO] Building model...
[2025-12-17 20:58:21,073::train::INFO] # trainable parameters: 2.8247 M
[2025-12-17 20:58:21,073::train::INFO] Model hyperparams: loss_v_weight=100.000, spp_weight=0.000, compactness_weight=0.000
[2025-12-17 20:58:52,729::train::INFO] [Train] Iter 00200 | Loss 1.068154 | Loss pos 0.915846 | Loss v 0.001523 | Compact 3.759319 | SPP 0.000000 | Energy 0.755766 | Grad 0.9057 | LR 0.001000
[2025-12-17 20:59:23,087::train::INFO] [Train] Iter 00400 | Loss 1.129924 | Loss pos 0.969206 | Loss v 0.001607 | Compact 5.460492 | SPP 0.000000 | Energy 0.978846 | Grad 0.6894 | LR 0.001000
[2025-12-17 20:59:53,487::train::INFO] [Train] Iter 00600 | Loss 0.821464 | Loss pos 0.710093 | Loss v 0.001114 | Compact 4.600686 | SPP 0.000000 | Energy 0.597692 | Grad 1.1232 | LR 0.001000
[2025-12-17 21:00:24,157::train::INFO] [Train] Iter 00800 | Loss 0.504157 | Loss pos 0.423402 | Loss v 0.000808 | Compact 8.496996 | SPP 0.000000 | Energy 0.685227 | Grad 0.4186 | LR 0.001000
[2025-12-17 21:00:54,752::train::INFO] [Train] Iter 01000 | Loss 0.450987 | Loss pos 0.317941 | Loss v 0.001330 | Compact 11.060506 | SPP 0.000000 | Energy 0.996153 | Grad 0.9692 | LR 0.001000
[2025-12-17 21:01:25,255::train::INFO] [Train] Iter 01200 | Loss 0.789696 | Loss pos 0.641429 | Loss v 0.001483 | Compact 9.858735 | SPP 0.000000 | Energy 0.839411 | Grad 1.2317 | LR 0.001000
[2025-12-17 21:01:55,701::train::INFO] [Train] Iter 01400 | Loss 0.397668 | Loss pos 0.270828 | Loss v 0.001268 | Compact 10.341425 | SPP 0.000000 | Energy 0.916130 | Grad 0.3592 | LR 0.001000
[2025-12-17 21:02:26,045::train::INFO] [Train] Iter 01600 | Loss 0.688336 | Loss pos 0.453936 | Loss v 0.002344 | Compact 13.509621 | SPP 0.000000 | Energy 1.371683 | Grad 0.9731 | LR 0.001000
[2025-12-17 21:02:56,322::train::INFO] [Train] Iter 01800 | Loss 1.281060 | Loss pos 1.189590 | Loss v 0.000915 | Compact 6.748888 | SPP 0.000000 | Energy 1.804436 | Grad 2.1475 | LR 0.001000
[2025-12-17 21:03:26,735::train::INFO] [Train] Iter 02000 | Loss 0.682545 | Loss pos 0.533368 | Loss v 0.001492 | Compact 5.638311 | SPP 0.000000 | Energy 0.846348 | Grad 1.1664 | LR 0.001000
[2025-12-17 21:09:59,136::train::INFO] [Validate] Iter 02000 | Loss 0.981887 | Loss pos 0.892201 | Loss v 0.896865 e-3 | Avg atom auroc 0.876803 | Compact 8.072402 | SPP 0.000000
