[2025-12-21 21:01:21,042::train::INFO] Namespace(config='configs/tuning_c003.yml', device='cuda', logdir='./logs_diffusion', tag='', train_report_iter=200)
[2025-12-21 21:01:21,042::train::INFO] {'data': {'name': 'pl', 'path': './data/crossdocked_v1.1_rmsd1.0_pocket10', 'split': './data/crossdocked_pocket10_pose_split.pt', 'transform': {'ligand_atom_mode': 'add_aromatic', 'random_rot': False}}, 'model': {'model_mean_type': 'C0', 'beta_schedule': 'sigmoid', 'beta_start': 1e-07, 'beta_end': 0.002, 'v_beta_schedule': 'cosine', 'v_beta_s': 0.01, 'num_diffusion_timesteps': 1000, 'loss_v_weight': 100.0, 'sample_time_method': 'symmetric', 'time_emb_dim': 0, 'time_emb_mode': 'simple', 'center_pos_mode': 'protein', 'node_indicator': True, 'model_type': 'uni_o2', 'num_blocks': 1, 'num_layers': 9, 'hidden_dim': 128, 'n_heads': 16, 'edge_feat_dim': 4, 'num_r_gaussian': 20, 'knn': 32, 'num_node_types': 8, 'act_fn': 'relu', 'norm': True, 'cutoff_mode': 'knn', 'ew_net_type': 'global', 'num_x2h': 1, 'num_h2x': 1, 'r_max': 10.0, 'x2h_out_fc': False, 'sync_twoup': False, 'compactness_weight': 0.003, 'spp_weight': 0.0}, 'train': {'seed': 2021, 'batch_size': 4, 'num_workers': 4, 'n_acc_batch': 1, 'max_iters': 100000, 'val_freq': 2000, 'pos_noise_std': 0.1, 'max_grad_norm': 8.0, 'bond_loss_weight': 1.0, 'optimizer': {'type': 'adam', 'lr': 0.001, 'weight_decay': 0, 'beta1': 0.95, 'beta2': 0.999}, 'scheduler': {'type': 'plateau', 'factor': 0.6, 'patience': 10, 'min_lr': 1e-06}}}
[2025-12-21 21:01:21,211::train::INFO] Loading dataset...
[2025-12-21 21:01:28,428::train::INFO] Training: 163170 Validation: 3330
[2025-12-21 21:01:28,429::train::INFO] Building model...
[2025-12-21 21:01:35,032::train::INFO] # trainable parameters: 2.8247 M
[2025-12-21 21:01:35,032::train::INFO] Model hyperparams: loss_v_weight=100.000, spp_weight=0.000, compactness_weight=0.003
[2025-12-21 21:02:13,234::train::INFO] [Train] Iter 00200 | Loss 1.071120 | Loss pos 0.908688 | Loss v 0.001512 | Compact 3.728113 | SPP 0.000000 | Energy 0.760485 | Grad 0.8122 | LR 0.001000
[2025-12-21 21:02:43,518::train::INFO] [Train] Iter 00400 | Loss 1.181332 | Loss pos 1.003687 | Loss v 0.001609 | Compact 5.568505 | SPP 0.000000 | Energy 0.989603 | Grad 0.9125 | LR 0.001000
[2025-12-21 21:03:14,080::train::INFO] [Train] Iter 00600 | Loss 0.807055 | Loss pos 0.689076 | Loss v 0.001046 | Compact 4.461386 | SPP 0.000000 | Energy 0.596299 | Grad 1.6464 | LR 0.001000
[2025-12-21 21:03:44,716::train::INFO] [Train] Iter 00800 | Loss 0.531308 | Loss pos 0.438499 | Loss v 0.000677 | Compact 8.378633 | SPP 0.000000 | Energy 0.696809 | Grad 0.4528 | LR 0.001000
[2025-12-21 21:04:15,187::train::INFO] [Train] Iter 01000 | Loss 0.477052 | Loss pos 0.305534 | Loss v 0.001378 | Compact 11.226962 | SPP 0.000000 | Energy 1.025708 | Grad 0.9351 | LR 0.001000
[2025-12-21 21:04:45,480::train::INFO] [Train] Iter 01200 | Loss 0.829244 | Loss pos 0.650533 | Loss v 0.001495 | Compact 9.732534 | SPP 0.000000 | Energy 0.848239 | Grad 1.2131 | LR 0.001000
